일자,자치구,총사용수(B),총사용수(S),평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
2024-01-03,강동구,2824,93021,1.6,-0.4,3.8,0.5,0.0399,0.0087,0.89,0.0023,40.0,30.0
2024-01-03,강북구,975,45644,1.6,-1.4,3.2,0.5,0.0182,0.0232,0.5,0.0024,34.0,24.0
2024-01-03,강서구,10732,183398,2.2,-0.9,5.0,0.0,0.033,0.016,0.52,0.0032,46.0,27.0
2024-01-03,관악구,1529,148693,0.6,-2.8,3.5,3.5,0.0296,0.017,0.55,0.0027,49.0,30.0
2024-01-03,광진구,3403,61330,2.5,0.7,4.4,0.0,0.0434,0.0096,0.74,0.0028,38.0,25.0
2024-01-03,구로구,3050,128001,1.9,-0.9,4.8,0.0,0.0225,0.0137,0.5,0.0024,49.0,33.0
2024-01-03,금천구,1363,101136,2.4,0.4,4.5,2.0,0.0389,0.0105,0.66,0.0029,45.0,34.0
2024-01-03,노원구,4209,160440,0.7,-3.9,2.9,0.0,0.0291,0.0132,0.53,0.0029,42.0,28.0
2024-01-03,도봉구,1466,89596,1.2,-2.1,3.7,0.5,0.0254,0.021,0.65,0.0027,36.0,27.0
2024-01-03,동대문구,2443,100575,2.2,0.1,3.9,0.0,0.0295,0.0184,0.56,0.003,41.0,27.0
2024-01-03,동작구,1286,88665,2.1,-1.8,5.4,0.5,0.0303,0.0172,0.47,0.0025,45.0,32.0
2024-01-03,마포구,3231,253373,1.8,-1.3,5.0,0.0,0.0324,0.0155,0.51,0.0027,39.0,29.0
2024-01-03,서대문구,1452,90933,1.1,-2.5,3.9,0.0,0.0243,0.0202,0.88,0.0036,38.0,29.0
2024-01-03,서초구,2011,143299,2.4,0.4,5.2,1.0,0.0254,0.0166,0.43,0.0027,46.0,31.0
2024-01-03,성동구,2931,122127,2.5,0.3,4.6,0.0,0.0322,0.012,0.49,0.0024,40.0,26.0
2024-01-03,성북구,1639,46944,1.5,-1.6,3.1,0.5,0.0255,0.017,0.62,0.0021,38.0,28.0
2024-01-03,송파구,5557,193314,2.7,0.7,4.9,0.0,0.0377,0.0086,0.58,0.0024,40.0,28.0
2024-01-03,양천구,4808,35612,2.5,0.2,5.0,0.5,0.0336,0.0161,0.55,0.0029,45.0,33.0
2024-01-03,영등포구,6497,320145,2.7,0.3,5.0,0.5,0.0297,0.0188,0.51,0.0028,40.0,30.0
2024-01-03,용산구,1258,0,,,,0.5,0.0272,0.0195,0.54,0.0025,40.0,25.0
2024-01-03,은평구,1661,120775,0.1,-3.8,3.2,0.5,0.0232,0.0171,0.98,0.0026,41.0,29.0
2024-01-03,종로구,2683,238281,0.7,-2.1,3.1,0.5,0.0238,0.0228,0.55,0.0028,42.0,31.0
2024-01-03,중구,1865,263560,0.2,-2.3,2.8,0.0,0.0236,0.0227,0.47,0.0029,36.0,29.0
2024-01-03,중랑구,2064,64251,2.4,0.1,3.7,0.5,0.0323,0.0144,0.52,0.0025,35.0,27.0
2024-01-04,강남구,2795,410754,2.0,-2.6,5.3,0.0,0.0341,0.0139,0.63,0.0032,53.0,36.0
2024-01-04,강동구,3690,94641,0.9,-3.6,4.4,0.0,0.0399,0.0103,1.03,0.0026,56.0,41.0
2024-01-04,강북구,1222,46799,0.2,-4.4,3.6,0.0,0.0309,0.0121,0.71,0.0024,54.0,37.0
2024-01-04,강서구,12613,185698,2.1,-3.8,5.6,0.0,0.0389,0.0142,0.74,0.0036,53.0,30.0
2024-01-04,관악구,2012,152832,0.6,-4.6,3.8,0.0,0.0308,0.0177,0.65,0.0029,52.0,32.0
2024-01-04,광진구,4107,69724,2.1,-1.8,5.1,0.0,0.0408,0.0114,0.9,0.0028,51.0,33.0
2024-01-04,구로구,3861,128413,1.9,-3.2,5.5,0.0,0.0242,0.0144,0.59,0.0029,54.0,35.0
2024-01-04,금천구,1909,102040,2.6,-1.8,5.3,0.0,0.0337,0.0163,0.61,0.0028,49.0,35.0
2024-01-04,노원구,5067,162728,-0.8,-6.6,3.4,0.0,0.0372,0.0095,0.74,0.0031,58.0,40.0
2024-01-04,도봉구,1872,91974,-0.4,-5.1,4.1,0.0,0.0359,0.0132,0.86,0.0029,50.0,38.0
2024-01-04,동대문구,3132,102869,1.7,-2.6,5.0,0.0,0.0391,0.013,0.76,0.0036,54.0,35.0
2024-01-04,동작구,1656,90068,1.4,-4.7,6.0,0.0,0.0347,0.0157,0.58,0.0027,48.0,34.0
2024-01-04,마포구,3953,259438,2.3,-1.9,5.4,0.0,0.0338,0.0159,0.67,0.0029,50.0,37.0
2024-01-04,서대문구,1761,91581,1.3,-3.4,4.7,0.0,0.0318,0.0159,1.07,0.0051,49.0,38.0
2024-01-04,서초구,2580,145748,1.8,-3.3,5.6,0.0,0.027,0.0163,0.54,0.003,51.0,34.0
2024-01-04,성동구,3575,125256,2.1,-1.5,5.1,0.0,0.0345,0.0122,0.63,0.0025,54.0,33.0
2024-01-04,성북구,2128,47601,1.1,-3.4,4.2,0.0,0.0361,0.0091,0.88,0.0027,54.0,38.0
2024-01-04,송파구,7712,197026,2.5,-1.4,6.0,0.0,0.037,0.013,0.64,0.0027,50.0,36.0
2024-01-04,양천구,5808,36033,,,,0.0,0.0373,0.0155,0.69,0.0033,53.0,37.0
2024-01-04,영등포구,8076,323615,3.0,-0.6,5.7,0.0,0.0339,0.0176,0.67,0.0034,48.0,35.0
2024-01-04,용산구,1627,0,,,,0.0,0.03,0.0155,0.65,0.0026,49.0,27.0
2024-01-04,은평구,2116,123178,1.0,-6.2,5.7,0.0,0.0263,0.0162,1.1,0.003,50.0,35.0
2024-01-04,종로구,3364,243413,0.8,-4.2,4.6,0.0,0.034,0.0153,0.75,0.0034,56.0,40.0
2024-01-04,중구,2509,265818,0.3,-3.1,3.6,0.0,0.0364,0.0134,0.74,0.0034,49.0,39.0
2024-01-04,중랑구,2491,65330,1.9,-2.5,5.0,0.0,0.0361,0.0116,0.65,0.0027,47.0,36.0
2024-01-05,강남구,2972,416787,5.5,2.2,10.2,0.0,0.0308,0.0233,0.69,0.0033,83.0,59.0
2024-01-05,강동구,3996,97383,5.4,2.2,9.5,0.0,0.0355,0.0237,1.05,0.0026,85.0,61.0
