일자,자치구,총사용수(B),총사용수(S)
2024-01-08,동작구,1186,87366
2024-01-08,마포구,2526,248123
2024-01-08,서대문구,1129,88537
2024-01-08,서초구,1906,141515
2024-01-08,성동구,2704,117351
2024-01-08,성북구,1464,45251
2024-01-08,송파구,5572,188290
2024-01-08,양천구,4412,34608
2024-01-08,영등포구,6093,311334
2024-01-08,용산구,1029,0
2024-01-08,은평구,1392,116779
2024-01-08,종로구,2354,224950
2024-01-08,중구,1690,251288
2024-01-08,중랑구,1840,62361
2024-01-09,강남구,1014,418420
2024-01-09,강동구,1566,96974
2024-01-09,강북구,452,45580
2024-01-09,강서구,5962,186604
2024-01-09,관악구,887,150110
2024-01-09,광진구,1871,61680
2024-01-09,구로구,1591,128992
2024-01-09,금천구,827,104280
2024-01-09,노원구,1977,161904
2024-01-09,도봉구,695,89722
2024-01-09,동대문구,1326,98810
2024-01-09,동작구,623,90185
2024-01-09,마포구,1638,256756
2024-01-09,서대문구,782,92133
2024-01-09,서초구,969,147231
2024-01-09,성동구,1509,124629
2024-01-09,성북구,812,47411
2024-01-09,송파구,2968,203571
2024-01-09,양천구,2813,36833
2024-01-09,영등포구,3637,327135
2024-01-09,용산구,559,0
2024-01-09,은평구,873,120809
2024-01-09,종로구,1302,236080
2024-01-09,중구,942,262055
2024-01-09,중랑구,989,65268
2024-01-10,강남구,2038,415073
2024-01-10,강동구,2663,96735
2024-01-10,강북구,785,46698
2024-01-10,강서구,10266,188119
2024-01-10,관악구,1522,155795
2024-01-10,광진구,3316,63791
2024-01-10,구로구,2964,130519
2024-01-10,금천구,1451,103416
2024-01-10,노원구,3762,165969
2024-01-10,도봉구,1387,92767
2024-01-10,동대문구,2251,102660
2024-01-10,동작구,1214,91949
2024-01-10,마포구,3092,265249
2024-01-10,서대문구,1283,94246
2024-01-10,서초구,1790,146316
2024-01-10,성동구,2776,125533
2024-01-10,성북구,1415,48508
2024-01-10,송파구,5294,201660
2024-01-10,양천구,4956,36749
2024-01-10,영등포구,6684,329893
2024-01-10,용산구,1172,0
2024-01-10,은평구,1593,124327
2024-01-10,종로구,2640,244232
2024-01-10,중구,1957,267243
2024-01-10,중랑구,1803,66244
2024-01-11,강남구,2628,418745
2024-01-11,강동구,3331,95711
2024-01-11,강북구,997,47357
2024-01-11,강서구,11387,187308
2024-01-11,관악구,1943,157730
2024-01-11,광진구,3946,63274
2024-01-11,구로구,3356,130247
2024-01-11,금천구,1657,103512
2024-01-11,노원구,4540,164085
2024-01-11,도봉구,1665,92243
2024-01-11,동대문구,2693,103443
2024-01-11,동작구,1515,92206
2024-01-11,마포구,3493,266822
2024-01-11,서대문구,1520,93998
2024-01-11,서초구,2354,150138
2024-01-11,성동구,3276,123209
2024-01-11,성북구,1793,48515
2024-01-11,송파구,6903,199344
2024-01-11,양천구,5402,36884
2024-01-11,영등포구,7317,330984
2024-01-11,용산구,1428,0
2024-01-11,은평구,1892,124181
2024-01-11,종로구,3180,247071
2024-01-11,중구,2272,263690
2024-01-11,중랑구,2277,65765
2024-01-12,강남구,2747,425884
2024-01-12,강동구,3338,97928
2024-01-12,강북구,1060,47827
2024-01-12,강서구,11556,192395
2024-01-12,관악구,1921,165298
2024-01-12,광진구,3935,66981
2024-01-12,구로구,3493,132596
2024-01-12,금천구,1614,103335
2024-01-12,노원구,5003,169029
2024-01-12,도봉구,1776,95576
2024-01-12,동대문구,2801,106762
2024-01-12,동작구,1521,97770
2024-01-12,마포구,3670,277724
2024-01-12,서대문구,1595,98251
2024-01-12,서초구,2387,160645
2024-01-12,성동구,3246,126947
2024-01-12,성북구,1825,49127
2024-01-12,송파구,7328,204400
2024-01-12,양천구,5441,37408
2024-01-12,영등포구,7572,343509
2024-01-12,용산구,1422,0
2024-01-12,은평구,1898,127051
2024-01-12,종로구,3238,251196
2024-01-12,중구,2267,272056
2024-01-12,중랑구,2441,67411
2024-01-13,강남구,1889,246712
2024-01-13,강동구,2961,65747
2024-01-13,강북구,959,39809
2024-01-13,강서구,7710,132010
2024-01-13,관악구,1661,133386
2024-01-13,광진구,3130,57819
2024-01-13,구로구,2569,88144
2024-01-13,금천구,856,40467
