일자,자치구,총사용수,type
2024-01-08,강동구,2691,Bike
2024-01-08,강북구,884,Bike
2024-01-08,강서구,8738,Bike
2024-01-08,관악구,1472,Bike
2024-01-08,광진구,3101,Bike
2024-01-08,구로구,2718,Bike
2024-01-08,금천구,1407,Bike
2024-01-08,노원구,3943,Bike
2024-01-08,도봉구,1507,Bike
2024-01-08,동대문구,2132,Bike
2024-01-08,동작구,1186,Bike
2024-01-08,마포구,2526,Bike
2024-01-08,서대문구,1129,Bike
2024-01-08,서초구,1906,Bike
2024-01-08,성동구,2704,Bike
2024-01-08,성북구,1464,Bike
2024-01-08,송파구,5572,Bike
2024-01-08,양천구,4412,Bike
2024-01-08,영등포구,6093,Bike
2024-01-08,용산구,1029,Bike
2024-01-08,은평구,1392,Bike
2024-01-08,종로구,2354,Bike
2024-01-08,중구,1690,Bike
2024-01-08,중랑구,1840,Bike
2024-01-09,강남구,1014,Bike
2024-01-09,강동구,1566,Bike
2024-01-09,강북구,452,Bike
2024-01-09,강서구,5962,Bike
2024-01-09,관악구,887,Bike
2024-01-09,광진구,1871,Bike
2024-01-09,구로구,1591,Bike
2024-01-09,금천구,827,Bike
2024-01-09,노원구,1977,Bike
2024-01-09,도봉구,695,Bike
2024-01-09,동대문구,1326,Bike
2024-01-09,동작구,623,Bike
2024-01-09,마포구,1638,Bike
2024-01-09,서대문구,782,Bike
2024-01-09,서초구,969,Bike
2024-01-09,성동구,1509,Bike
2024-01-09,성북구,812,Bike
2024-01-09,송파구,2968,Bike
2024-01-09,양천구,2813,Bike
2024-01-09,영등포구,3637,Bike
2024-01-09,용산구,559,Bike
2024-01-09,은평구,873,Bike
2024-01-09,종로구,1302,Bike
2024-01-09,중구,942,Bike
2024-01-09,중랑구,989,Bike
2024-01-10,강남구,2038,Bike
2024-01-10,강동구,2663,Bike
2024-01-10,강북구,785,Bike
2024-01-10,강서구,10266,Bike
2024-01-10,관악구,1522,Bike
2024-01-10,광진구,3316,Bike
2024-01-10,구로구,2964,Bike
2024-01-10,금천구,1451,Bike
2024-01-10,노원구,3762,Bike
2024-01-10,도봉구,1387,Bike
2024-01-10,동대문구,2251,Bike
2024-01-10,동작구,1214,Bike
2024-01-10,마포구,3092,Bike
2024-01-10,서대문구,1283,Bike
2024-01-10,서초구,1790,Bike
2024-01-10,성동구,2776,Bike
2024-01-10,성북구,1415,Bike
2024-01-10,송파구,5294,Bike
2024-01-10,양천구,4956,Bike
2024-01-10,영등포구,6684,Bike
2024-01-10,용산구,1172,Bike
2024-01-10,은평구,1593,Bike
2024-01-10,종로구,2640,Bike
2024-01-10,중구,1957,Bike
2024-01-10,중랑구,1803,Bike
2024-01-11,강남구,2628,Bike
2024-01-11,강동구,3331,Bike
2024-01-11,강북구,997,Bike
2024-01-11,강서구,11387,Bike
2024-01-11,관악구,1943,Bike
2024-01-11,광진구,3946,Bike
2024-01-11,구로구,3356,Bike
2024-01-11,금천구,1657,Bike
2024-01-11,노원구,4540,Bike
2024-01-11,도봉구,1665,Bike
2024-01-11,동대문구,2693,Bike
2024-01-11,동작구,1515,Bike
2024-01-11,마포구,3493,Bike
2024-01-11,서대문구,1520,Bike
2024-01-11,서초구,2354,Bike
2024-01-11,성동구,3276,Bike
2024-01-11,성북구,1793,Bike
2024-01-11,송파구,6903,Bike
2024-01-11,양천구,5402,Bike
2024-01-11,영등포구,7317,Bike
2024-01-11,용산구,1428,Bike
2024-01-11,은평구,1892,Bike
2024-01-11,종로구,3180,Bike
2024-01-11,중구,2272,Bike
2024-01-11,중랑구,2277,Bike
2024-01-12,강남구,2747,Bike
2024-01-12,강동구,3338,Bike
2024-01-12,강북구,1060,Bike
2024-01-12,강서구,11556,Bike
2024-01-12,관악구,1921,Bike
2024-01-12,광진구,3935,Bike
2024-01-12,구로구,3493,Bike
2024-01-12,금천구,1614,Bike
2024-01-12,노원구,5003,Bike
2024-01-12,도봉구,1776,Bike
2024-01-12,동대문구,2801,Bike
2024-01-12,동작구,1521,Bike
2024-01-12,마포구,3670,Bike
2024-01-12,서대문구,1595,Bike
2024-01-12,서초구,2387,Bike
2024-01-12,성동구,3246,Bike
2024-01-12,성북구,1825,Bike
2024-01-12,송파구,7328,Bike
2024-01-12,양천구,5441,Bike
2024-01-12,영등포구,7572,Bike
2024-01-12,용산구,1422,Bike
2024-01-12,은평구,1898,Bike
2024-01-12,종로구,3238,Bike
2024-01-12,중구,2267,Bike
2024-01-12,중랑구,2441,Bike
2024-01-13,강남구,1889,Bike
2024-01-13,강동구,2961,Bike
2024-01-13,강북구,959,Bike
2024-01-13,강서구,7710,Bike
2024-01-13,관악구,1661,Bike
2024-01-13,광진구,3130,Bike
2024-01-13,구로구,2569,Bike
2024-01-13,금천구,856,Bike
2024-01-13,노원구,4370,Bike
2024-01-13,도봉구,1491,Bike
2024-01-13,동대문구,2119,Bike
2024-01-13,동작구,1304,Bike
2024-01-13,마포구,2944,Bike
2024-01-13,서대문구,1278,Bike
2024-01-13,서초구,1747,Bike
2024-01-13,성동구,2200,Bike
2024-01-13,성북구,1521,Bike
2024-01-13,송파구,5949,Bike
2024-01-13,양천구,4666,Bike
2024-01-13,영등포구,5279,Bike
2024-01-13,용산구,1236,Bike
2024-01-13,은평구,1762,Bike
2024-01-13,종로구,1959,Bike
2024-01-13,중구,1304,Bike
2024-01-13,중랑구,2081,Bike
2024-01-14,강남구,848,Bike
