대여일시,자치구,총사용수
2024-01-10,강북구,785
2024-01-10,강서구,10266
2024-01-10,관악구,1522
2024-01-10,광진구,3316
2024-01-10,구로구,2964
2024-01-10,금천구,1451
2024-01-10,노원구,3762
2024-01-10,도봉구,1387
2024-01-10,동대문구,2251
2024-01-10,동작구,1214
2024-01-10,마포구,3092
2024-01-10,서대문구,1283
2024-01-10,서초구,1790
2024-01-10,성동구,2776
2024-01-10,성북구,1415
2024-01-10,송파구,5294
2024-01-10,양천구,4956
2024-01-10,영등포구,6684
2024-01-10,용산구,1172
2024-01-10,은평구,1593
2024-01-10,종로구,2640
2024-01-10,중구,1957
2024-01-10,중랑구,1803
2024-01-11,강남구,2628
2024-01-11,강동구,3331
2024-01-11,강북구,997
2024-01-11,강서구,11387
2024-01-11,관악구,1943
2024-01-11,광진구,3946
2024-01-11,구로구,3356
2024-01-11,금천구,1657
2024-01-11,노원구,4540
2024-01-11,도봉구,1665
2024-01-11,동대문구,2693
2024-01-11,동작구,1515
2024-01-11,마포구,3493
2024-01-11,서대문구,1520
2024-01-11,서초구,2354
2024-01-11,성동구,3276
2024-01-11,성북구,1793
2024-01-11,송파구,6903
2024-01-11,양천구,5402
2024-01-11,영등포구,7317
2024-01-11,용산구,1428
2024-01-11,은평구,1892
2024-01-11,종로구,3180
2024-01-11,중구,2272
2024-01-11,중랑구,2277
2024-01-12,강남구,2747
2024-01-12,강동구,3338
2024-01-12,강북구,1060
2024-01-12,강서구,11556
2024-01-12,관악구,1921
2024-01-12,광진구,3935
2024-01-12,구로구,3493
2024-01-12,금천구,1614
2024-01-12,노원구,5003
2024-01-12,도봉구,1776
2024-01-12,동대문구,2801
2024-01-12,동작구,1521
2024-01-12,마포구,3670
2024-01-12,서대문구,1595
2024-01-12,서초구,2387
2024-01-12,성동구,3246
2024-01-12,성북구,1825
2024-01-12,송파구,7328
2024-01-12,양천구,5441
2024-01-12,영등포구,7572
2024-01-12,용산구,1422
2024-01-12,은평구,1898
2024-01-12,종로구,3238
2024-01-12,중구,2267
2024-01-12,중랑구,2441
2024-01-13,강남구,1889
2024-01-13,강동구,2961
2024-01-13,강북구,959
2024-01-13,강서구,7710
2024-01-13,관악구,1661
2024-01-13,광진구,3130
2024-01-13,구로구,2569
2024-01-13,금천구,856
2024-01-13,노원구,4370
2024-01-13,도봉구,1491
2024-01-13,동대문구,2119
2024-01-13,동작구,1304
2024-01-13,마포구,2944
2024-01-13,서대문구,1278
2024-01-13,서초구,1747
2024-01-13,성동구,2200
2024-01-13,성북구,1521
2024-01-13,송파구,5949
2024-01-13,양천구,4666
2024-01-13,영등포구,5279
2024-01-13,용산구,1236
2024-01-13,은평구,1762
2024-01-13,종로구,1959
2024-01-13,중구,1304
2024-01-13,중랑구,2081
2024-01-14,강남구,848
2024-01-14,강동구,1329
2024-01-14,강북구,445
2024-01-14,강서구,3524
2024-01-14,관악구,903
2024-01-14,광진구,1492
2024-01-14,구로구,1235
2024-01-14,금천구,427
2024-01-14,노원구,1896
2024-01-14,도봉구,661
2024-01-14,동대문구,900
2024-01-14,동작구,620
2024-01-14,마포구,1300
2024-01-14,서대문구,614
2024-01-14,서초구,705
2024-01-14,성동구,987
2024-01-14,성북구,742
2024-01-14,송파구,2562
2024-01-14,양천구,2196
2024-01-14,영등포구,2389
2024-01-14,용산구,554
2024-01-14,은평구,759
2024-01-14,종로구,844
2024-01-14,중구,540
2024-01-14,중랑구,912
2024-01-15,강남구,2199
2024-01-15,강동구,2826
2024-01-15,강북구,916
2024-01-15,강서구,10132
2024-01-15,관악구,1560
2024-01-15,광진구,3281
2024-01-15,구로구,3062
2024-01-15,금천구,1427
2024-01-15,노원구,3792
2024-01-15,도봉구,1413
2024-01-15,동대문구,2330
2024-01-15,동작구,1170
2024-01-15,마포구,3083
2024-01-15,서대문구,1370
2024-01-15,서초구,2039
2024-01-15,성동구,2748
2024-01-15,성북구,1625
2024-01-15,송파구,6219
2024-01-15,양천구,4595
2024-01-15,영등포구,6441
2024-01-15,용산구,1163
2024-01-15,은평구,1558
2024-01-15,종로구,2692
2024-01-15,중구,1864
2024-01-15,중랑구,1959
2024-01-16,강남구,2519
2024-01-16,강동구,3082
2024-01-16,강북구,938
2024-01-16,강서구,11062
2024-01-16,관악구,1815
2024-01-16,광진구,3785
2024-01-16,구로구,3324
2024-01-16,금천구,1719
2024-01-16,노원구,4294
2024-01-16,도봉구,1521
2024-01-16,동대문구,2571
2024-01-16,동작구,1347
2024-01-16,마포구,3418
2024-01-16,서대문구,1606
2024-01-16,서초구,2269
2024-01-16,성동구,3179
2024-01-16,성북구,1767
2024-01-16,송파구,6756
2024-01-16,양천구,5043
2024-01-16,영등포구,7232
2024-01-16,용산구,1379
2024-01-16,은평구,1755
2024-01-16,종로구,3079
2024-01-16,중구,2109
2024-01-16,중랑구,2208
2024-01-17,강남구,1111
2024-01-17,강동구,1524
2024-01-17,강북구,435
2024-01-17,강서구,5334
2024-01-17,관악구,798
2024-01-17,광진구,1818
2024-01-17,구로구,1542
2024-01-17,금천구,826
2024-01-17,노원구,1940
2024-01-17,도봉구,707
2024-01-17,동대문구,1277
2024-01-17,동작구,649
2024-01-17,마포구,1479
2024-01-17,서대문구,790
2024-01-17,서초구,961
2024-01-17,성동구,1431
2024-01-17,성북구,840
2024-01-17,송파구,3084
2024-01-17,양천구,2327
2024-01-17,영등포구,3275
2024-01-17,용산구,614
2024-01-17,은평구,856
2024-01-17,종로구,1459
2024-01-17,중구,943
2024-01-17,중랑구,983
2024-01-18,강남구,2391
2024-01-18,강동구,2990
2024-01-18,강북구,957
2024-01-18,강서구,10171
2024-01-18,관악구,1647
2024-01-18,광진구,3549
2024-01-18,구로구,3140
2024-01-18,금천구,1682
2024-01-18,노원구,3975
2024-01-18,도봉구,1527
2024-01-18,동대문구,2504
2024-01-18,동작구,1323
2024-01-18,마포구,3477
2024-01-18,서대문구,1355
2024-01-18,서초구,2149
2024-01-18,성동구,3127
2024-01-18,성북구,1671
2024-01-18,송파구,6584
2024-01-18,양천구,4841
2024-01-18,영등포구,7134
2024-01-18,용산구,1461
2024-01-18,은평구,1739
2024-01-18,종로구,3159
2024-01-18,중구,2232
2024-01-18,중랑구,2078
2024-01-19,강남구,3148
2024-01-19,강동구,3818
2024-01-19,강북구,1193
2024-01-19,강서구,12012
2024-01-19,관악구,2057
2024-01-19,광진구,4205
2024-01-19,구로구,3776
2024-01-19,금천구,1796
2024-01-19,노원구,4897
2024-01-19,도봉구,1935
2024-01-19,동대문구,2869
2024-01-19,동작구,1565
2024-01-19,마포구,4077
2024-01-19,서대문구,1649
2024-01-19,서초구,2637
2024-01-19,성동구,3458
2024-01-19,성북구,1996
2024-01-19,송파구,8087
2024-01-19,양천구,5829
2024-01-19,영등포구,8294
2024-01-19,용산구,1612
2024-01-19,은평구,2059
2024-01-19,종로구,3467
2024-01-19,중구,2555
2024-01-19,중랑구,2590
2024-01-20,강남구,1188
2024-01-20,강동구,2017
2024-01-20,강북구,705
2024-01-20,강서구,5245
2024-01-20,관악구,1073
2024-01-20,광진구,1992
2024-01-20,구로구,1597
2024-01-20,금천구,566
2024-01-20,노원구,2872
2024-01-20,도봉구,1023
2024-01-20,동대문구,1438
2024-01-20,동작구,772
2024-01-20,마포구,1719
2024-01-20,서대문구,863
2024-01-20,서초구,1028
